1^小医仙2号^小额医疗险^投保后次日零时^可自由选择1个月至12个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.6元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|住院医疗保险责任^网上缴费^方案一；方案二；方案三
2^超级卫士^小额医疗险^投保后次日零时^可自由选择1个月至13个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.7元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|住院医疗保险责任^网上缴费^方案一；方案二；方案三
3^任我学学平险^小额医疗险^投保后次日零时^可自由选择1个月至14个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.8元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|住院医疗保险责任^网上缴费^方案一；方案二；方案三
4^住院宝^小额医疗险^投保后次日零时^可自由选择1个月至15个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.9元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|住院医疗保险责任^网上缴费^方案一；方案二；方案三
5^挚爱住院万元保^小额医疗险^投保后次日零时^可自由选择1个月至16个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.10元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|住院医疗保险责任^网上缴费^方案一；方案二；方案三
6^众安保险住院保^小额医疗险^投保后次日零时^可自由选择1个月至17个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.11元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|住院医疗保险责任^网上缴费^方案一；方案二；方案三
7^专心成人意外险2022^意外险^投保后次日零时^可自由选择1个月至18个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.12元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|意外医疗保险责任（含住院津贴）^网上缴费^方案一；方案二；方案三
8^平安1-5类职业意外险^意外险^投保后次日零时^可自由选择1个月至19个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.13元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|意外医疗保险责任（含住院津贴）^网上缴费^方案一；方案二；方案三
9^统护卫^意外险^投保后次日零时^可自由选择1个月至20个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.14元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|意外医疗保险责任（含住院津贴）^网上缴费^方案一；方案二；方案三
10^华泰1-6类意外险^意外险^投保后次日零时^可自由选择1个月至21个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.15元/月^一万元^意外身故保险责任|意外伤残保险责任|意外医疗保险责任|意外医疗保险责任（含住院津贴）^网上缴费^方案一；方案二；方案三
11^尊享e生（2022）^大额医疗险^投保后次日零时^可自由选择1个月至22个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.16元/月^一万元^住院医疗保险责任^网上缴费^方案一；方案二；方案三
12^爱健康百万医疗险^大额医疗险^投保后次日零时^可自由选择1个月至23个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.17元/月^一万元^住院医疗保险责任^网上缴费^方案一；方案二；方案三
13^蓝医保（e享护-医享无忧）长期医疗险^大额医疗险^投保后次日零时^可自由选择1个月至24个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.18元/月^一万元^住院医疗保险责任^网上缴费^方案一；方案二；方案三
14^医小康^大额医疗险^投保后次日零时^可自由选择1个月至25个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.19元/月^一万元^住院医疗保险责任^网上缴费^方案一；方案二；方案三
15^卓越馨选医疗保险^大额医疗险^投保后次日零时^可自由选择1个月至26个月（一年期）^方案1：25.6元/月；方案2：51.6元/月；方案3: 77.20元/月^一万元^住院医疗保险责任^网上缴费^方案一；方案二；方案三
